day,hr,rank,twitter_trend,hashtag,count (thousands)
19-Mar,10,19,Roxham,no,14.9
19-Mar,10,20,Mario Lemieux,no,Under 10
19-Mar,10,21,Kung Flu,no,71.6
19-Mar,10,22,Xbox,no,175.7
19-Mar,10,23,Emergency Care Benefit,no,Under 10
19-Mar,10,24,Happy Birthday Rosie,no,Under 10
19-Mar,10,25,Canada-U.S.,no,Under 10
19-Mar,10,26,#staysafestayhome,yes,77.9
19-Mar,10,27,#CanadiansIn3Words,yes,Under 10
19-Mar,10,28,#AEWDynamite,yes,79.8
19-Mar,10,29,#survivor,yes,24.2
19-Mar,10,30,#Homecoming,yes,197.4
19-Mar,10,31,#proudtobecanadian,yes,Under 10
19-Mar,10,32,#selfisolation,yes,18.5
19-Mar,10,33,#TrumpLiedPeopleDied,yes,142.6
19-Mar,10,34,#TrumpPandemic,yes,123.5
19-Mar,10,35,#CanadaCovid19,yes,Under 10
19-Mar,10,36,#WednesdayWisdom,yes,78.8
19-Mar,10,37,#AEWonTNT,yes,16.5
19-Mar,10,38,#IStandWithJamar,yes,Under 10
19-Mar,10,39,#FlattenTheCurve,yes,76.9
19-Mar,10,40,#onseprotege,yes,Under 10
19-Mar,10,41,#fancamsareoverparty,yes,16.8
19-Mar,10,42,#PS5Reveal,yes,16
19-Mar,10,43,#canadalockdown,yes,Under 10
19-Mar,10,44,#bcedchat,yes,Under 10
19-Mar,10,45,#DearBernie,yes,53.7
19-Mar,10,46,#TheMaskedSinger,yes,16.1
19-Mar,10,47,#PlayStation5,yes,43.2
19-Mar,10,48,#bcwinechat,yes,Under 10
19-Mar,10,49,#OnThePandemicUpside,yes,Under 10
19-Mar,10,50,#caremongering,yes,Under 10
19-Mar,18,1,#COVID19ON,yes,22.1
19-Mar,18,2,#firstdayofspring,yes,25.5
19-Mar,18,3,#ThursdayThoughts,yes,83.4
19-Mar,18,4,#STAYwithHyunjinForever,yes,157.3
19-Mar,18,5,#QuarentineLife,yes,22.6
19-Mar,18,6,gal gadot,no,63.4
19-Mar,18,7,Monaco,no,38.4
19-Mar,18,8,St. Joseph,no,14.5
19-Mar,18,9,Chloroquine,no,100.5
19-Mar,18,10,Slay,no,96.5
19-Mar,18,11,Hyman,no,Under 10
19-Mar,18,12,Gabbard,no,42.6
19-Mar,18,13,"""Imagine""",no,586.7
19-Mar,18,14,Toyota,no,16
19-Mar,18,15,Todd Gurley,no,Under 10
19-Mar,18,16,John Lennon,no,48.1
19-Mar,18,17,Mark Ruffalo,no,15.9
19-Mar,18,18,Robert Fife,no,Under 10
19-Mar,18,19,Pays-Bas,no,Under 10
19-Mar,18,20,cElebRitiEs,no,171.6
19-Mar,18,21,Trufant,no,10.2
19-Mar,18,22,China,no,3400
19-Mar,18,23,Happy Birthday Mack,no,Under 10
19-Mar,18,24,Zoom,no,155.6
19-Mar,18,25,Roxham,no,12.3
19-Mar,18,26,sandra,no,40.8
19-Mar,18,27,Canada-U.S.,no,Under 10
19-Mar,18,28,#AskRobbo,yes,Under 10
19-Mar,18,29,#JantaCurfew,yes,139.5
19-Mar,18,30,#SaveWorkers,yes,23.3
19-Mar,18,31,#5YearsWithRMixtape,yes,60.9
19-Mar,18,32,#YouCanTellAlotAboutPeopleFrom,yes,Under 10
19-Mar,18,33,#CanadaPerforms,yes,Under 10
19-Mar,18,34,#LCC2point0,yes,Under 10
19-Mar,18,35,#StayConnected,yes,Under 10
19-Mar,18,36,#Nowruz,yes,Under 10
19-Mar,18,37,#battleofmohawkpark,yes,Under 10
19-Mar,18,38,#ThankfulThursday,yes,Under 10
19-Mar,18,39,#learningfromhome,yes,Under 10
19-Mar,18,40,#staysafestayhome,yes,89.1
19-Mar,18,41,#MyQuarantineInSixWords,yes,45.3
19-Mar,18,42,#CoronaVirusChallenge,yes,436.7
19-Mar,18,43,#CanadiansIn3Words,yes,Under 10
19-Mar,18,44,#selfisolation,yes,21.6
19-Mar,18,45,#AEWDynamite,yes,86.5
19-Mar,18,46,#TrumpPandemic,yes,129.8
19-Mar,18,47,#survivor,yes,25.8
19-Mar,18,48,#workingfromhome,yes,22.3
19-Mar,18,49,#Homecoming,yes,208.5
19-Mar,18,50,#proudtobecanadian,yes,Under 10
